code,province
DBG,Bắc Giang
TDB,Bắc Ninh
,Bắc Ninh
UKB,Bắc Ninh
BHIU,Bắc Ninh
HCB / HCN,Bắc Ninh
DHH,Hà Nam
DKY,Hải Dương
SDU,Hải Dương
SKH,Hải Dương
DKT,Hải Dương
DDB,Hải Dương
HHA,Hải Phòng
YPB,Hải Phòng
THP,Hải Phòng
DFA,Hưng Yên
DCA,Hưng Yên
DTP,Lào Cai
YDD,Nam Định
SKN,Nam Định
DTV,Nam Định
DNB,Ninh Bình
VUI,Phú Thọ
THV,Phú Thọ
QPH,Phú Thọ
,Phú Thọ
DDM,Quảng Ninh
,Quảng Ninh
HLU,Quảng Ninh
TTB,Sơn La
YTB,Thái Bình
DTB,Thái Bình
,Thái Nguyên
DTC,Thái Nguyên
DTZ,Thái Nguyên
DTE,Thái Nguyên
DTK,Thái Nguyên
DTN,Thái Nguyên
DTS,Thái Nguyên
DTY,Thái Nguyên
DVB,Thái Nguyên
TQU,Tuyên Quang
SP2,Vĩnh Phúc
,Vĩnh Phúc
DVP,Vĩnh Phúc
TGH,Vĩnh phúc
DQN,Bình Định
DQT,Bình Định
BMU,Đăk Lăk
NLG,Gia Lai
HHT,Hà Tĩnh
TSN,Khánh Hòa
UKH,Khánh Hòa
TBD,Khánh Hòa
HQH,Khánh Hòa
KGH / KGC,Khánh Hòa
TCU,Khánh Hòa
,Khánh Hòa
DDP,Kon Tum
TDL,Lâm Đồng
DYD,Lâm Đồng
,Lâm Đồng
TDV,Nghệ An
SKV,Nghệ An
YKV,Nghệ An
CEA,Nghệ An
DVX,Nghệ An
DCV,Nghệ An
NLN,Ninh Thuận
XDT,Phú Yên
,Phú Yên
DPY,Phú Yên
DQB,Quảng Bình
DQU,Quảng Nam
DPC,Quảng Nam
DPQ,Quảng Ngãi
IUQ,Quảng Ngãi
DHQ,Quảng Trị
YHT,Thanh Hóa
HDT,Thanh Hóa
DVD,Thanh Hóa
,Thanh Hóa
TAG,An Giang
PVU,Bà Rịa
,Bà Rịa
BVU,Bà Rịa Vũng Tàu
DBL,Bạc Liêu
,Bến Tre
,Bến Tre
,Bến Tre
,Bến Tre
VGU,Bình Dương
TDM,Bình Dương
DBD,Bình Dương
DKB,Bình Dương
EIU,Bình Dương
,Bình Dương
TDTU,Cà Mau
,Cà Mau
TCT,Cần Thơ
YCT,Cần Thơ
KCC,Cần Thơ
DNC,Cần Thơ
DTD,Cần Thơ
,Cần Thơ
LNS,Đồng Nai
DNU,Đồng Nai
DCD,Đồng Nai
DLH,Đồng Nai
LBH,Đồng Nai
AD2,Đồng Nai
SPD,Đồng Tháp
VTT,Hậu Giang
TKG,Kiên Giang
DLA,Long An
TTU,Long An
TTG,Tiền Giang
DVT,Trà Vinh
VLU,Vĩnh Long
MTU,Vĩnh Long
DCL,Vĩnh Long
QHI,Hà Nội
QHS,Hà Nội
QHE,Hà Nội
QHT,Hà Nội
QHX,Hà Nội
QHF,Hà Nội
,Hà Nội
,Hà Nội
TMA,Hà Nội
VHD,Hà Nội
BKA,Hà Nội
LDA,Hà Nội
GTA,Hà Nội
CCM,Hà Nội
DCN,Hà Nội
DDL,Hà Nội
DKH,Hà Nội
GHA,Hà Nội
NHF,Hà Nội
DKS,Hà Nội
KTA,Hà Nội
DKK,Hà Nội
KHA,Hà Nội
LNH,Hà Nội
LPH,Hà Nội
MDA,Hà Nội
MTC,Hà Nội
MTH,Hà Nội
NTH,Hà Nội
DNV,Hà Nội
SKD,Hà Nội
SPH,Hà Nội
GNT,Hà Nội
TDH,Hà Nội
DMT,Hà Nội
"TLA (Hà Nội), TLS (Cơ sở 2 – Tp.HCM)",Hà Nội
VHH,Hà Nội
XDA,Hà Nội
YHB,Hà Nội
YTC,Hà Nội
DLT,Hà Nội
NVH,Hà Nội
,Hà Nội
HBT,Hà Nội
,Hà Nội
HCP,Hà Nội
,Hà Nội
BVH,Hà Nội
,Hà Nội
"HCH (Hà Nội), HCS (Tp.HCM)",Hà Nội
KCN,Hà Nội
,Hà Nội
GASS,Hà Nội
NHH,Hà Nội
HVN,Hà Nội
HPN,Hà Nội
HVQ,Hà Nội
HTC,Hà Nội
HTN,Hà Nội
HTA,Hà Nội
,Hà Nội
HYD,Hà Nội
MHN,Hà Nội
HNM,Hà Nội
DDA,Hà Nội
DCQ,Hà Nội
DDN,Hà Nội
DDD,Hà Nội
,Hà Nội
ETU,Hà Nội
DQK,Hà Nội
MCA,Hà Nội
NTU,Hà Nội
DPD,Hà Nội
RMU,Hà Nội
FBU,Hà Nội
DTL,Hà Nội
TDD,Hà Nội
DTA,Hà Nội
BPH,Hà Nội
,Hà Nội
HEH,Hà Nội
NQH,Hà Nội
KMA,Hà Nội
KQH,Hà Nội
PKH,Hà Nội
YQH,Hà Nội
,Hà Nội
LCH,Hà Nội
LAH,Hà Nội
PBH,Hà Nội
HGH,Hà Nội
DCH,Hà Nội
ZNH,Hà Nội
COT,Hà Nội
,Hà Nội
,Hà Nội
ANH,Hà Nội
CSH,Hà Nội
HCA,Hà Nội
PCH / PCS,Hà Nội
AD1,Hà Nội
CD1,Hà Nội
DPX,Thừa Thiên Huế
,Đà Nẵng
DHT,Thừa Thiên Huế
DHK,Thừa Thiên Huế
DHA,Thừa Thiên Huế
DHN,Thừa Thiên Huế
DHF,Đà Nẵng
DHL,Thừa Thiên Huế
DHS,Thừa Thiên Huế
DHY,Thừa Thiên Huế
DKQ,Thừa Thiên Huế
HVA,Thừa Thiên Huế
,Thừa Thiên Huế
GD33,Đà Nẵng
DDK,Đà Nẵng
DSK,Đà Nẵng
DDQ,Đà Nẵng
DDF,Đà Nẵng
DDS,Đà Nẵng
YDN,Đà Nẵng
TTD,Đà Nẵng
DAD,Đà Nẵng
DDT,Đà Nẵng
KTD,Đà Nẵng
,Đà Nẵng
,Hồ Chí Minh
QSB,Hồ Chí Minh
QSC,Hồ Chí Minh
QST,Hồ Chí Minh
QSX,Hồ Chí Minh
QSK,Hồ Chí Minh
QSQ,Hồ Chí Minh
HUI,Hồ Chí Minh
DCT,Hồ Chí Minh
GTS,Hồ Chí Minh
KTS,Hồ Chí Minh
KSA,Hồ Chí Minh
LPS,Hồ Chí Minh
MBS,Hồ Chí Minh
MTS,Hồ Chí Minh
NHS,Hồ Chí Minh
NLU,Hồ Chí Minh
DSD,Hồ Chí Minh
SPK,Hồ Chí Minh
SPS,Hồ Chí Minh
STS,Hồ Chí Minh
DMS,Hồ Chí Minh
DTM,Hồ Chí Minh
TDS,Hồ Chí Minh
DTT,Hồ Chí Minh
VHS,Hồ Chí Minh
YDS,Hồ Chí Minh
TYS,Hồ Chí Minh
,Hồ Chí Minh
GSA,Hồ Chí Minh
DLS,Hồ Chí Minh
NTS,Hồ Chí Minh
TLS,Hồ Chí Minh
HVC,Hồ Chí Minh
BVS,Hồ Chí Minh
HHK,Hồ Chí Minh
NVS,Hồ Chí Minh
,Hồ Chí Minh
,Hồ Chí Minh
,Hồ Chí Minh
SGD,Hồ Chí Minh
DSG,Hồ Chí Minh
DKC,Hồ Chí Minh
DVL,Hồ Chí Minh
FUV,Hồ Chí Minh
HSU,Hồ Chí Minh
DHV,Hồ Chí Minh
UEF,Hồ Chí Minh
DNT,Hồ Chí Minh
NTT,Hồ Chí Minh
HIU,Hồ Chí Minh
TTQ,Hồ Chí Minh
DCG,Hồ Chí Minh
DVH,Hồ Chí Minh
"VPH (Hệ quân sự), ZPH (Hệ dân sự)",Hồ Chí Minh
QP02,Hồ Chí Minh
,Hồ Chí Minh
ANS,Hồ Chí Minh
CSS,Hồ Chí Minh
,Hồ Chí Minh
,Hồ Chí Minh
